Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Lorong 4 Toa Payoh,HDB 3 Room,66,Lorong 4 Toa Payoh,,Blk 66 Lorong 4 Toa Payoh,,,64,45,489000,https://www.srx.com.sg/listings/100692131/for-sale-lorong-4-toa-payoh-3rm-with-utility-room-unit-for-sale,54.0,2,1.0
Choa Chu Kang,HDB 4 Room,614,Choa Chu Kang Street 62,,Blk 614 Choa Chu Kang Street 62,,,108,72,590000,https://www.srx.com.sg/listings/100513461/for-sale-choa-chu-kang-street-62-4a-choa-chu-kang-vacant-unit,27.0,3,2.0
Ghim Moh,HDB 4 Room,15,Ghim Moh Road,,Blk 15 Ghim Moh Road,,,84,53,590000,https://www.srx.com.sg/listings/75934982/for-sale-ghim-moh-road-ghim-moh-road,46.0,3,2.0
Sengkang East Way,HDB 4 Room,323B,Sengkang East Way,,Blk 323B Sengkang East Way,,,90,78,350000,https://www.srx.com.sg/listings/100695311/for-sale-sengkang-east-way-very-convenient-location,21.0,3,2.0
Pasir Ris,HDB Executive,549,Pasir Ris Street 51,,Blk 549 Pasir Ris Street 51,,,154,68,350000,https://www.srx.com.sg/listings/98122881/for-sale-pasir-ris-street-51-pasir-ris-street-51,31.0,4,3.0
Bukit Batok,HDB 3 Room,150,Bukit Batok Street 11,,Blk 150 Bukit Batok Street 11,,,68,74,350000,https://www.srx.com.sg/listings/100465701/for-sale-bukit-batok-street-11-bukit-batok-street-11,25.0,2,2.0
Serangoon,HDB 4 Room,219,Serangoon Avenue 4,,Blk 219 Serangoon Avenue 4,,,91,60,780000,https://www.srx.com.sg/listings/93107101/for-sale-serangoon-avenue-4-8mins-walk-to-serangoon-central-mrt-station-and-ne,39.0,3,2.0
Fernvale Rivergrove,HDB 4 Room,472A,Fernvale Rivergrove,,Blk 472A Fernvale Rivergrove,,,93,92,780000,https://www.srx.com.sg/listings/100126641/for-sale-fernvale-rivergrove-fernvale-street,7.0,3,2.0
Pasir Ris,HDB Executive,712,Pasir Ris Street 72,,Blk 712 Pasir Ris Street 72,,,148,72,780000,https://www.srx.com.sg/listings/100465811/for-sale-pasir-ris-street-72-pasir-ris-street-72,27.0,3,2.0
Admiralty Place,HDB 5 Room,678,Admiralty Place,,Blk 678 Admiralty Place,,,123,74,570000,https://www.srx.com.sg/listings/99711601/for-sale-admiralty-place-woodlands-avenue-6,25.0,3,2.0
