Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 156 Rivervale Crescent,https://www.srx.com.sg/listings/100692231/for-sale-rivervale-crescent-attractive-unblocked-4rm-hdb-for-sale-call-9386,3,2,92,4 Room,Model A,2005,489000,18
Blk 66 Lorong 4 Toa Payoh,https://www.srx.com.sg/listings/100692131/for-sale-lorong-4-toa-payoh-3rm-with-utility-room-unit-for-sale,2,1,64,3 Room,Standard,1969,489000,54
Blk 91 Skyterrace @ Dawson,https://www.srx.com.sg/listings/100380141/for-sale-skyterrace-dawson-dawson-road,2,2,65,3 Room,Model A,2016,489000,7
Blk 614 Choa Chu Kang Street 62,https://www.srx.com.sg/listings/100513461/for-sale-choa-chu-kang-street-62-4a-choa-chu-kang-vacant-unit,3,2,108,4 Room,Model A,1996,590000,27
Blk 15 Ghim Moh Road,https://www.srx.com.sg/listings/75934982/for-sale-ghim-moh-road-ghim-moh-road,3,2,84,4 Room,Improved,1977,590000,46
Blk 301 Tampines Street 32,https://www.srx.com.sg/listings/100375231/for-sale-tampines-street-32-tampines-street-32,4,2,125,None,None,None,590000,None
Blk 323B Sengkang East Way,https://www.srx.com.sg/listings/100695311/for-sale-sengkang-east-way-very-convenient-location,3,2,90,4 Room,Model A,2002,350000,21
Blk 549 Pasir Ris Street 51,https://www.srx.com.sg/listings/98122881/for-sale-pasir-ris-street-51-pasir-ris-street-51,4,3,154,HDB Executive,Maisonette,1992,350000,31
Blk 150 Bukit Batok Street 11,https://www.srx.com.sg/listings/100465701/for-sale-bukit-batok-street-11-bukit-batok-street-11,2,2,68,3 Room,New Generation,1998,350000,25
Blk 219 Serangoon Avenue 4,https://www.srx.com.sg/listings/93107101/for-sale-serangoon-avenue-4-8mins-walk-to-serangoon-central-mrt-station-and-ne,3,2,91,4 Room,New Generation,1984,780000,39
Blk 472A Fernvale Rivergrove,https://www.srx.com.sg/listings/100126641/for-sale-fernvale-rivergrove-fernvale-street,3,2,93,4 Room,Model A,2016,780000,7
Blk 712 Pasir Ris Street 72,https://www.srx.com.sg/listings/100465811/for-sale-pasir-ris-street-72-pasir-ris-street-72,3,2,148,HDB Executive,Apartment,1996,780000,27
Blk 678 Admiralty Place,https://www.srx.com.sg/listings/99711601/for-sale-admiralty-place-woodlands-avenue-6,3,2,123,5 Room,Improved,1998,570000,25
Blk 417 Jurong West Street 42,https://www.srx.com.sg/listings/100695881/for-sale-jurong-west-street-42-jurong-west-street-42,3+1,None,84,4 Room,Simplified,1985,570000,38
Blk 336 Hougang Avenue 7,https://www.srx.com.sg/listings/100371811/for-sale-hougang-avenue-7-hougang-avenue-7,3,2,91,4 Room,New Generation,1985,570000,38
Blk 95B City Vue @henderson,https://www.srx.com.sg/listings/100539081/for-sale-city-vue-henderson-henderson-road,2,2,68,3 Room,Model A,2019,1100000,4
Blk 789 Woodlands Avenue 6,https://www.srx.com.sg/listings/100693381/for-sale-woodlands-avenue-6-6-min-walk-to-admiralty-mrt-nicely-renovated-unit,3+1,2,141,HDB Executive,Multi Generation,1997,1100000,26
Blk 540 Bedok North Street 3,https://www.srx.com.sg/listings/100359821/for-sale-bedok-north-street-3-best-of-bedok,3,2,93,4 Room,New Generation,1980,1100000,43
Blk 186 Bishan Street 13,https://www.srx.com.sg/listings/100530841/for-sale-bishan-street-13-bishan-street-13,5,3,153,HDB Executive,Maisonette,1987,858000,36
