Year,Town,Flat_Type,Price
2020,JURONG EAST,2 ROOM,247999.9
2020,JURONG EAST,3 ROOM,286177.7662337662
2020,JURONG EAST,4 ROOM,401767.0133333333
2020,JURONG EAST,5 ROOM,494975.5298507463
2020,JURONG EAST,EXECUTIVE,665018.5185185185
2020,JURONG WEST,2 ROOM,228400.0
2020,JURONG WEST,3 ROOM,274179.85388127854
2020,JURONG WEST,4 ROOM,377571.2392638037
2020,JURONG WEST,5 ROOM,456968.5475285171
2020,JURONG WEST,EXECUTIVE,556438.252631579
2020,KALLANG/WHAMPOA,2 ROOM,206800.0
2020,KALLANG/WHAMPOA,3 ROOM,337169.84251968504
2020,KALLANG/WHAMPOA,4 ROOM,542161.1421428571
2020,KALLANG/WHAMPOA,5 ROOM,699873.5462184874
2020,KALLANG/WHAMPOA,EXECUTIVE,773934.5882352941
2020,MARINE PARADE,3 ROOM,363225.39130434784
2020,MARINE PARADE,4 ROOM,476343.76470588235
2020,MARINE PARADE,5 ROOM,785254.7586206896
2020,PASIR RIS,2 ROOM,262750.0
2020,PASIR RIS,3 ROOM,377602.7027027027
2020,PASIR RIS,4 ROOM,452329.3903133903
2020,PASIR RIS,5 ROOM,517396.98412698414
2020,PASIR RIS,EXECUTIVE,625801.7616580311
2020,PUNGGOL,2 ROOM,250032.55172413794
2020,PUNGGOL,3 ROOM,362701.1100478469
2020,PUNGGOL,4 ROOM,468028.8617801047
2020,PUNGGOL,5 ROOM,533741.006
2020,PUNGGOL,EXECUTIVE,547572.6153846154
2020,QUEENSTOWN,2 ROOM,246647.0588235294
2020,QUEENSTOWN,3 ROOM,370499.45588235295
2020,QUEENSTOWN,4 ROOM,744268.4432234432
2020,QUEENSTOWN,5 ROOM,860776.6034567901
2020,QUEENSTOWN,EXECUTIVE,982900.0
2020,SEMBAWANG,2 ROOM,225732.66666666666
2020,SEMBAWANG,3 ROOM,304695.652173913
2020,SEMBAWANG,4 ROOM,362790.82352941175
2020,SEMBAWANG,5 ROOM,414335.89677419356
2020,SEMBAWANG,EXECUTIVE,493319.6666666667
2020,SENGKANG,2 ROOM,247036.58536585365
2020,SENGKANG,3 ROOM,347701.20958083833
2020,SENGKANG,4 ROOM,434480.52918660286
2020,SENGKANG,5 ROOM,497427.9192838875
2020,SENGKANG,EXECUTIVE,570309.9435483871
2020,SERANGOON,2 ROOM,240000.0
2020,SERANGOON,3 ROOM,314310.0215053763
2020,SERANGOON,4 ROOM,455069.70165745856
2020,SERANGOON,5 ROOM,579325.3513513514
2020,SERANGOON,EXECUTIVE,741771.0
2020,TAMPINES,2 ROOM,260250.0
2020,TAMPINES,3 ROOM,340013.14803625375
2020,TAMPINES,4 ROOM,450558.2027777778
2020,TAMPINES,5 ROOM,558004.8114035088
2020,TAMPINES,EXECUTIVE,689166.3387978142
2020,TAMPINES,MULTI-GENERATION,742500.0
2020,TOA PAYOH,2 ROOM,196120.69565217392
2020,TOA PAYOH,3 ROOM,270972.29022082017
2020,TOA PAYOH,4 ROOM,554876.6958762887
2020,TOA PAYOH,5 ROOM,728413.8536585366
2020,TOA PAYOH,EXECUTIVE,792706.2857142857
2020,WOODLANDS,2 ROOM,226283.33333333334
2020,WOODLANDS,3 ROOM,266143.2546583851
2020,WOODLANDS,4 ROOM,352869.433122807
2020,WOODLANDS,5 ROOM,423414.4692982456
2020,WOODLANDS,EXECUTIVE,616019.6307692308
2020,YISHUN,2 ROOM,223380.0
2020,YISHUN,3 ROOM,284312.55529411766
2020,YISHUN,4 ROOM,372337.35696517414
2020,YISHUN,5 ROOM,486036.4362606232
2020,YISHUN,EXECUTIVE,599154.1
2020,YISHUN,MULTI-GENERATION,752000.0
2021,ANG MO KIO,2 ROOM,228227.27272727274
2021,ANG MO KIO,3 ROOM,331721.6382978723
2021,ANG MO KIO,4 ROOM,490748.55633802817
2021,ANG MO KIO,5 ROOM,682737.6590909091
2021,ANG MO KIO,EXECUTIVE,892994.4
2021,BEDOK,2 ROOM,254630.92857142858
2021,BEDOK,3 ROOM,328491.27046263346
2021,BEDOK,4 ROOM,488177.75626043405
2021,BEDOK,5 ROOM,616580.3616438357
2021,BEDOK,EXECUTIVE,779381.1052631579
2021,BISHAN,3 ROOM,387566.6153846154
2021,BISHAN,4 ROOM,579664.8362369338
2021,BISHAN,5 ROOM,810960.2366863905
2021,BISHAN,EXECUTIVE,963708.350877193
2021,BISHAN,MULTI-GENERATION,895200.0
2021,BUKIT BATOK,3 ROOM,317512.11155378487
2021,BUKIT BATOK,4 ROOM,443390.0071174377
2021,BUKIT BATOK,5 ROOM,600338.624
2021,BUKIT BATOK,EXECUTIVE,697439.3684210526
2021,BUKIT MERAH,1 ROOM,197222.22222222222
2021,BUKIT MERAH,2 ROOM,278634.4827586207
2021,BUKIT MERAH,3 ROOM,405088.5593220339
2021,BUKIT MERAH,4 ROOM,706957.3038548753
