Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Lorong 2 Toa Payoh,HDB 5 Room,143,Lorong 2 Toa Payoh,,Blk 143 Lorong 2 Toa Payoh,,,110,78,1150000,https://www.srx.com.sg/listings/99192831/for-sale-lorong-2-toa-payoh-beautiful-corner-unit-just-listed-no-noon-sun-ch,21.0,3,2.0
Ang Mo Kio,HDB 3 Room,180,Ang Mo Kio Avenue 5,,Blk 180 Ang Mo Kio Avenue 5,,,68,57,1150000,https://www.srx.com.sg/listings/100458471/for-sale-ang-mo-kio-avenue-5-ang-mo-kio-avenue-5,42.0,2,2.0
Choa Chu Kang,HDB 4 Room,425,Choa Chu Kang Avenue 4,,Blk 425 Choa Chu Kang Avenue 4,,,106,68,600000,https://www.srx.com.sg/listings/100458061/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,31.0,3,2.0
Sengkang East Way,HDB 5 Room,121C,Sengkang East Way,,Blk 121C Sengkang East Way,,,110,76,600000,https://www.srx.com.sg/listings/100457971/for-sale-sengkang-east-way-sengkang-east-way,23.0,3,2.0
Dover,HDB 3 Room,3,Dover Road,,Blk 3 Dover Road,,,73,51,600000,https://www.srx.com.sg/listings/100457801/for-sale-dover-road-dover-road,48.0,2,1.0
Bishan,HDB 5 Room,290,Bishan Street 24,,Blk 290 Bishan Street 24,,,123,74,380000,https://www.srx.com.sg/listings/100457681/for-sale-bishan-street-24-bishan-street-24,25.0,3,2.0
Jurong East,HDB 4 Room,236,Jurong East Street 21,,Blk 236 Jurong East Street 21,,,93,58,380000,https://www.srx.com.sg/listings/100457601/for-sale-jurong-east-street-21-jurong-east-street-21,41.0,3,2.0
Ang Mo Kio,HDB 3 Room,576,Ang Mo Kio Avenue 10,,Blk 576 Ang Mo Kio Avenue 10,,,82,56,380000,https://www.srx.com.sg/listings/100457471/for-sale-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10,43.0,2,2.0
Jalan Tenteram,HDB 5 Room,18,Jalan Tenteram,,Blk 18 Jalan Tenteram,,,105,80,508000,https://www.srx.com.sg/listings/100457451/for-sale-jalan-tenteram-jalan-tenteram,19.0,3,2.0
Waterway Sunray,HDB 4 Room,659C,Waterway Sunray,,Blk 659C Waterway Sunray,,,93,94,508000,https://www.srx.com.sg/listings/100457431/for-sale-waterway-sunray-punggol-east,5.0,3,2.0
Woodlands,HDB 4 Room,860,Woodlands Street 83,,Blk 860 Woodlands Street 83,,,106,72,508000,https://www.srx.com.sg/listings/100457361/for-sale-woodlands-street-83-woodlands-street-83,27.0,3,2.0
Woodlands,HDB 5 Room,892B,Woodlands Drive 50,,Blk 892B Woodlands Drive 50,,,121,72,670000,https://www.srx.com.sg/listings/100457341/for-sale-woodlands-drive-50-woodlands-drive-50,27.0,4,2.0
Jurong West,HDB 4 Room,736,Jurong West Street 75,,Blk 736 Jurong West Street 75,,,106,71,670000,https://www.srx.com.sg/listings/100457271/for-sale-jurong-west-street-75-jurong-west-street-75,28.0,4,2.0
Woodlands,HDB 2 Room,694D,Woodlands Drive 62,,Blk 694D Woodlands Drive 62,,,37,94,670000,https://www.srx.com.sg/listings/100457251/for-sale-woodlands-drive-62-woodlands-drive-62,5.0,1,1.0
Dover,HDB 3 Room,1,Dover Road,,Blk 1 Dover Road,,,73,51,538000,https://www.srx.com.sg/listings/100457211/for-sale-dover-road-dover-road,48.0,3,2.0
Tampines,HDB 4 Room,158,Tampines Street 12,,Blk 158 Tampines Street 12,,,92,60,538000,https://www.srx.com.sg/listings/100457131/for-sale-tampines-street-12-tampines-street-12,39.0,3,2.0
Marsiling Greenview,HDB 4 Room,185B,Marsiling Greenview,,Blk 185B Marsiling Greenview,,,93,95,538000,https://www.srx.com.sg/listings/100457101/for-sale-marsiling-greenview-woodlands-street-13,4.0,3,2.0
Sembawang Close,HDB 5 Room,331,Sembawang Close,,Blk 331 Sembawang Close,,,116,75,838000,https://www.srx.com.sg/listings/100456381/for-sale-sembawang-close-sembawang-close,24.0,3,2.0
